Governor,,,,,,,,,,,,,,,,,
,,BRIAN KEMP  (REP),,,,,STACEY ABRAMS  (DEM),,,,,TED METZ (LIB),,,,,
County,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
Appling,10613,2334,357,2735,0,5426,630,170,557,0,1357,14,3,6,0,23,6806
Atkinson,4252,808,45,1022,1,1876,333,43,260,1,637,6,0,3,0,9,2522
Bacon,6010,609,127,2585,0,3321,211,46,231,0,488,7,1,12,0,20,3829
Baker,2232,409,60,284,0,753,254,80,199,2,535,2,1,2,0,5,1293
Baldwin,23399,3054,336,4345,0,7735,3070,813,3907,3,7793,56,9,43,0,108,15636
Banks,10807,3471,178,2500,0,6149,349,40,256,0,645,38,4,15,0,57,6851
Barrow,47514,10278,687,9195,2,20162,3400,561,2934,5,6900,234,15,94,0,343,27405
Bartow,64074,15129,971,12305,20,28425,4160,586,3767,10,8523,295,11,103,1,410,37358
Ben Hill,9258,931,89,2518,0,3538,671,227,1073,0,1971,6,4,14,0,24,5533
Berrien,10247,2299,224,2788,3,5314,452,93,353,2,900,21,5,12,0,38,6252
Bibb,99934,14025,1184,7971,45,23225,15527,3241,18114,184,37066,264,36,98,3,401,60692
Bleckley,6944,1342,142,2332,0,3816,426,112,459,5,1002,25,3,14,0,42,4860
Brantley,9984,2405,150,2640,3,5198,206,35,218,2,461,22,3,10,0,35,5694
Brooks,9911,1799,100,1602,10,3511,1003,363,806,16,2188,12,2,9,0,23,5722
Bryan,25712,4253,232,6009,13,10507,1695,348,2268,2,4313,98,2,65,0,165,14985
Bulloch,39983,7583,525,6677,63,14848,3588,537,4432,73,8630,126,14,61,4,205,23683
Burke,14449,2310,242,1858,0,4410,2212,724,1331,2,4269,30,2,10,0,42,8721
Butts,15280,1412,203,4743,0,6358,778,174,1499,0,2451,16,3,35,0,54,8863
Calhoun,2982,430,36,344,0,810,676,148,260,0,1084,1,1,3,0,5,1899
Camden,31632,5265,508,5362,4,11139,2372,678,2673,4,5727,138,7,50,0,195,17061
Candler,5572,687,58,1815,0,2560,387,59,514,1,961,9,1,6,0,16,3537
Carroll,72908,14544,810,13782,67,29203,5276,698,6170,36,12180,301,10,148,0,459,41842
Catoosa,40513,7481,367,11008,25,18881,1860,169,2553,8,4590,171,4,112,0,287,23758
Charlton,6072,1243,101,1182,8,2534,402,60,360,0,822,12,0,7,0,19,3375
Chatham,188315,28456,1601,11311,56,41424,35520,4517,20869,141,61047,847,50,158,4,1059,103530
Chattahoochee,3132,337,15,249,2,603,232,20,241,1,494,5,0,3,0,8,1105
Chattooga,11099,3035,141,2755,0,5931,689,84,670,0,1443,26,0,27,0,53,7427
Cherokee,165612,37596,3139,35858,0,76593,13653,2044,12287,0,27984,1173,67,420,0,1660,106237
Clarke,70597,6627,913,4822,0,12362,13301,2094,15009,0,30404,354,30,126,0,510,43276
Clay,1856,156,42,338,0,536,303,96,239,0,638,5,1,2,0,8,1182
Clayton,169574,4382,745,5720,20,10867,33744,5058,41817,348,80967,196,41,134,2,373,92207
Clinch,3884,638,51,1025,2,1716,269,56,206,2,533,2,0,5,0,7,2256
Cobb,486696,84398,9824,44272,356,138850,85317,15780,66610,1057,168764,3211,297,672,14,4194,311808
Coffee,21900,2946,180,5794,9,8929,1558,212,1850,10,3630,32,3,20,1,56,12615
Colquitt,21948,4831,255,4739,5,9830,1493,253,1303,5,3054,44,6,29,0,79,12963
Columbia,95779,19711,1303,19905,0,40919,8803,1581,9607,0,19991,455,35,174,0,664,61574
Cook,9423,1625,116,2375,0,4116,855,126,686,0,1667,10,2,8,0,20,5803
Coweta,91585,21166,1501,17799,5,40471,7949,1281,7668,10,16908,488,30,174,0,692,58071
Crawford,7459,1594,126,1873,2,3595,513,105,683,1,1302,23,3,11,0,37,4934
Crisp,11674,1411,192,2824,18,4445,1048,170,1351,8,2577,11,1,16,0,28,7050
Dade,10496,2271,84,2141,0,4496,441,45,398,0,884,48,0,22,0,70,5450
Dawson,18278,3502,319,6122,0,9943,543,117,858,0,1518,66,3,40,0,109,11570
Decatur,15201,2421,181,2839,50,5491,1791,364,1408,49,3612,23,3,13,0,39,9142
DeKalb,494731,26416,2836,19448,0,48700,112048,16309,130688,0,259045,1921,161,678,0,2760,310505
Dodge,11055,2355,262,2596,7,5220,822,184,808,3,1817,15,2,7,0,24,7061
Dooly,5669,760,60,1180,1,2001,941,136,704,1,1782,7,0,5,0,12,3795
Dougherty,57817,6188,343,2773,0,9304,11753,1535,8534,0,21822,80,11,25,0,116,31242
Douglas,89305,8633,978,12122,10,21743,12827,2230,17949,38,33044,285,25,148,0,458,55245
Early,6992,1063,223,995,4,2285,1021,246,573,0,1840,5,4,1,0,10,4135
Echols,1929,290,28,690,0,1008,47,7,72,0,126,4,0,5,0,9,1143
Effingham,38132,9029,419,8518,0,17966,2683,323,2135,0,5141,186,7,64,0,257,23364
Elbert,11123,2190,235,2697,30,5152,823,323,1010,38,2194,21,5,15,1,42,7388
Emanuel,12343,2611,227,2557,5,5400,1263,161,853,1,2278,22,2,14,0,38,7716
Evans,5569,655,119,1618,0,2392,426,78,536,0,1040,5,2,8,0,15,3447
Fannin,17200,4519,471,4302,0,9292,627,181,998,0,1806,58,4,41,0,103,11201
Fayette,83763,14144,1085,17250,17,32496,9636,1529,13609,19,24793,462,29,214,0,705,57994
Floyd,52469,11136,653,9701,79,21569,3938,589,3886,32,8445,203,18,101,2,324,30338
Forsyth,143680,24876,2420,38510,39,65845,10564,1944,13566,18,26092,812,64,483,2,1361,93298
Franklin,13069,3631,296,3124,0,7051,586,85,365,0,1036,42,6,13,0,61,8148
Fulton,703177,49326,4696,58769,200,112991,127473,12983,164363,1770,306589,2643,163,1390,12,4208,423788
Gilmer,19069,4805,413,5221,32,10471,745,142,1024,6,1917,67,4,50,1,122,12510
Glascock,1837,488,71,629,1,1189,76,10,21,0,107,3,0,2,0,5,1301
Glynn,54274,8567,778,11309,0,20654,4462,1010,6098,0,11570,150,15,103,0,268,32492
Gordon,30086,7511,365,6686,24,14586,1485,178,1375,8,3046,110,4,58,0,172,17804
Grady,13546,2846,163,2617,7,5633,1227,235,1235,7,2704,26,2,5,0,33,8370
Greene,12081,1542,215,4097,2,5856,1207,408,1475,3,3093,24,0,21,1,46,8995
Gwinnett,525568,69135,7534,55468,0,132137,83386,12059,80789,0,176234,2625,261,909,0,3795,312166
Habersham,24707,3758,655,8526,5,12944,794,190,1433,0,2417,67,8,64,0,139,15500
Hall,114817,29380,2056,17919,87,49442,9477,1404,6270,36,17187,584,33,159,1,777,67406
Hancock,5601,375,49,446,0,870,1138,427,1080,0,2645,5,0,5,0,10,3525
Haralson,17923,5264,290,3724,0,9278,661,102,456,0,1219,65,1,22,0,88,10585
Harris,22877,6018,409,5396,10,11833,1888,311,1819,3,4021,86,9,36,0,131,15985
Hart,14706,3012,225,4130,3,7370,905,209,1063,1,2178,41,6,27,0,74,9622
Heard,6678,1980,207,1183,4,3374,345,70,239,0,654,21,1,5,0,27,4055
Henry,154376,15315,1485,24505,53,41358,18989,3424,33888,138,56439,406,38,265,0,709,98506
Houston,93924,12107,1225,20943,0,34275,8699,1922,13691,0,24312,346,31,182,0,559,59146
Irwin,5277,1006,67,1620,8,2701,367,64,420,0,851,2,0,8,0,10,3562
Jackson,42272,8762,689,12490,9,21950,2027,318,2328,1,4674,162,12,101,0,275,26899
Jasper,9030,1891,250,2262,0,4403,595,170,708,0,1473,19,1,11,0,31,5907
Jeff Davis,7556,1517,158,2304,0,3979,377,70,367,0,814,12,1,9,0,22,4815
Jefferson,10349,1586,145,1444,1,3176,1743,452,1354,9,3558,17,4,5,0,26,6760
Jenkins,4677,658,74,1114,11,1857,449,113,437,5,1004,4,1,6,0,11,2872
Johnson,5060,891,138,1495,0,2524,384,98,466,0,948,2,0,9,0,11,3483
Jones,18194,3191,376,4865,6,8438,1447,404,2084,3,3938,42,4,19,0,65,12441
Lamar,11288,2208,179,2708,10,5105,880,221,1093,1,2195,34,4,19,0,57,7357
Lanier,5034,571,59,1277,0,1907,332,45,382,0,759,7,0,2,0,9,2675
Laurens,28805,6279,665,5538,2,12484,2835,612,2918,10,6375,54,9,29,1,93,18952
Lee,21012,5605,240,4271,4,10120,1730,235,1389,2,3356,53,5,21,0,79,13555
Liberty,31051,2730,180,2643,0,5553,3462,761,5463,0,9686,73,5,37,0,115,15354
Lincoln,5748,1204,116,1436,0,2756,457,235,495,2,1189,19,0,6,0,25,3970
Long,7606,1257,40,1285,9,2591,563,127,680,1,1371,28,2,6,0,36,3998
Lowndes,67459,7058,625,12583,222,20488,4899,1252,8558,315,15024,127,13,97,4,241,35753
Lumpkin,19567,2912,289,5948,0,9149,712,166,1346,0,2224,83,6,83,0,172,11545
Macon,6569,480,55,1021,0,1556,1151,276,1225,0,2652,4,0,5,0,9,4217
Madison,18018,4596,345,4238,0,9179,1264,175,979,0,2418,68,7,25,0,100,11697
Marion,4468,1030,62,780,0,1872,420,178,437,1,1036,17,0,5,0,22,2930
McDuffie,13587,1738,375,3210,0,5323,1119,486,1822,0,3427,22,7,13,0,42,8792
McIntosh,8962,1203,183,1832,0,3218,800,256,1105,0,2161,20,1,8,0,29,5408
Meriwether,13710,3158,170,1761,4,5093,2127,310,1057,7,3501,40,3,13,0,56,8650
Miller,3814,812,88,902,1,1803,337,42,122,1,502,3,2,5,0,10,2315
